Pkm Fever — every ability (181)
Generated from src/engine/abilities.ts. Alphabetical.

Adaptability         Its same-type attack bonus is ×2 instead of ×1.5.
Air Lock             While it is in battle and not fainted, every effect of the weather is ignored for both sides. The weather's remaining turns still count down.
Analytic             Its moves do 30% more damage on turns it moves after the foe.
Ball Collector       Every 500 steps you walk with it in your party, it finds one item, picked at random with equal odds from: Poké, Great, Ultra, Quick, Timer, Net, Nest, Level, Fast and Dive Balls. Each find has a 0.5% chance to be a Master Ball instead. Eggs and creatures in the box find nothing.
Barbarian            Its Bite does double damage (every hit, for a multi-hit move). No effect on its other moves.
Bard                 Its Disarming Voice does double damage (every hit, for a multi-hit move). No effect on its other moves.
Berry Picker         Every 500 steps you walk with it in your party, it finds one item, picked at random with equal odds from: Oran, Sitrus, Figy, Wiki, Mago, Aguav, Iapapa, Cheri, Chesto, Pecha, Rawst, Aspear and Lum Berries. Eggs and creatures in the box find nothing.
Big Pecks            Defence drops caused by the foe are blocked. Drops from its own moves still happen.
Blaze                Its Fire moves do 50% more damage while its HP is at or below 1/3 of its maximum.
Bug Affinity         In battle it is also Bug type: its Bug moves get the same-type bonus, and it takes and resists hits as a Bug type too. No effect if it is already Bug.
Bug Deficiency       In battle it is not Bug type: Bug moves get no same-type bonus from it, and the type chart ignores Bug when it is hit. A pure Bug type becomes typeless. No effect if it is not Bug.
Bug Drinker          Damaging Bug moves do nothing to it and instead restore 1/4 of its max HP (at least 1). Bug status moves still affect it.
Bug Guard            It takes 50% less damage from Bug moves.
Bulwark Drill        All the EVs it earns from each defeated foe go into Defence, doubled, whatever the foe would normally teach. A held Macho Brace or Power item that picks a stat overrides which stat. The limits of 252 per stat and 510 in total still apply.
Chlorophyll          Its Speed stat is doubled while harsh sunlight is active.
Clear Body           Stat drops caused by the foe (its moves, Intimidate) are blocked. Drops from its own moves still happen.
Cleric               Its Dazzling Gleam does double damage (every hit, for a multi-hit move). No effect on its other moves.
Cloud Nine           While it is in battle and not fainted, every effect of the weather is ignored for both sides. The weather's remaining turns still count down.
Compound Eyes        Its moves' accuracy is multiplied by 1.3, up to 100%.
Dark Affinity        In battle it is also Dark type: its Dark moves get the same-type bonus, and it takes and resists hits as a Dark type too. No effect if it is already Dark.
Dark Deficiency      In battle it is not Dark type: Dark moves get no same-type bonus from it, and the type chart ignores Dark when it is hit. A pure Dark type becomes typeless. No effect if it is not Dark.
Dark Drinker         Damaging Dark moves do nothing to it and instead restore 1/4 of its max HP (at least 1). Dark status moves still affect it.
Dark Fury            Its Dark moves do 50% more damage while its HP is at or below 1/3 of its maximum.
Dark Guard           It takes 50% less damage from Dark moves.
Defeatist            While its HP is at or below half its maximum, its Attack and Sp. Atk stats are halved.
Diligent             The EVs it earns from each defeated foe are multiplied by 1.5 (rounded down). The limits of 252 per stat and 510 in total still apply.
Dragon Affinity      In battle it is also Dragon type: its Dragon moves get the same-type bonus, and it takes and resists hits as a Dragon type too. No effect if it is already Dragon.
Dragon Deficiency    In battle it is not Dragon type: Dragon moves get no same-type bonus from it, and the type chart ignores Dragon when it is hit. A pure Dragon type becomes typeless. No effect if it is not Dragon.
Dragon Drinker       Damaging Dragon moves do nothing to it and instead restore 1/4 of its max HP (at least 1). Dragon status moves still affect it.
Dragon Fury          Its Dragon moves do 50% more damage while its HP is at or below 1/3 of its maximum.
Dragon Guard         It takes 50% less damage from Dragon moves.
Drizzle              When it enters battle, starts rain for 5 turns, unless it is already raining.
Drought              When it enters battle, starts harsh sunlight for 5 turns, unless it is already sunny.
Druid                Its Razor Leaf does double damage (every hit, for a multi-hit move). No effect on its other moves.
Electric Affinity    In battle it is also Electric type: its Electric moves get the same-type bonus, and it takes and resists hits as a Electric type too. No effect if it is already Electric.
Electric Deficiency  In battle it is not Electric type: Electric moves get no same-type bonus from it, and the type chart ignores Electric when it is hit. A pure Electric type becomes typeless. No effect if it is not Electric.
Electric Fury        Its Electric moves do 50% more damage while its HP is at or below 1/3 of its maximum.
Electric Guard       It takes 50% less damage from Electric moves.
Electric Surge       When it enters battle, starts Electric Terrain for 5 turns, unless it is already up.
Extremist            Its nature counts triple both ways: the raised stat about +30% and the lowered stat about −30%, instead of 10% each. A neutral nature is unaffected.
Fairy Affinity       In battle it is also Fairy type: its Fairy moves get the same-type bonus, and it takes and resists hits as a Fairy type too. No effect if it is already Fairy.
Fairy Deficiency     In battle it is not Fairy type: Fairy moves get no same-type bonus from it, and the type chart ignores Fairy when it is hit. A pure Fairy type becomes typeless. No effect if it is not Fairy.
Fairy Drinker        Damaging Fairy moves do nothing to it and instead restore 1/4 of its max HP (at least 1). Fairy status moves still affect it.
Fairy Fury           Its Fairy moves do 50% more damage while its HP is at or below 1/3 of its maximum.
Fairy Guard          It takes 50% less damage from Fairy moves.
Fervent              Its nature's bonus to the raised stat is tripled (about +30% instead of +10%). The lowered stat is lowered as usual. A neutral nature is unaffected.
Fighter              Its Quick Attack does double damage (every hit, for a multi-hit move). No effect on its other moves.
Fighting Affinity    In battle it is also Fighting type: its Fighting moves get the same-type bonus, and it takes and resists hits as a Fighting type too. No effect if it is already Fighting.
Fighting Deficiency  In battle it is not Fighting type: Fighting moves get no same-type bonus from it, and the type chart ignores Fighting when it is hit. A pure Fighting type becomes typeless. No effect if it is not Fighting.
Fighting Drinker     Damaging Fighting moves do nothing to it and instead restore 1/4 of its max HP (at least 1). Fighting status moves still affect it.
Fighting Fury        Its Fighting moves do 50% more damage while its HP is at or below 1/3 of its maximum.
Fighting Guard       It takes 50% less damage from Fighting moves.
Filter               Super-effective hits against it do 25% less damage (×0.75).
Fire Affinity        In battle it is also Fire type: its Fire moves get the same-type bonus, and it takes and resists hits as a Fire type too. No effect if it is already Fire.
Fire Deficiency      In battle it is not Fire type: Fire moves get no same-type bonus from it, and the type chart ignores Fire when it is hit. A pure Fire type becomes typeless. No effect if it is not Fire.
Fire Drinker         Damaging Fire moves do nothing to it and instead restore 1/4 of its max HP (at least 1). Fire status moves still affect it.
Flying Affinity      In battle it is also Flying type: its Flying moves get the same-type bonus, and it takes and resists hits as a Flying type too. No effect if it is already Flying.
Flying Deficiency    In battle it is not Flying type: Flying moves get no same-type bonus from it, and the type chart ignores Flying when it is hit. A pure Flying type becomes typeless. No effect if it is not Flying.
Flying Drinker       Damaging Flying moves do nothing to it and instead restore 1/4 of its max HP (at least 1). Flying status moves still affect it.
Flying Fury          Its Flying moves do 50% more damage while its HP is at or below 1/3 of its maximum.
Flying Guard         It takes 50% less damage from Flying moves.
Ghost Affinity       In battle it is also Ghost type: its Ghost moves get the same-type bonus, and it takes and resists hits as a Ghost type too. No effect if it is already Ghost.
Ghost Deficiency     In battle it is not Ghost type: Ghost moves get no same-type bonus from it, and the type chart ignores Ghost when it is hit. A pure Ghost type becomes typeless. No effect if it is not Ghost.
Ghost Drinker        Damaging Ghost moves do nothing to it and instead restore 1/4 of its max HP (at least 1). Ghost status moves still affect it.
Ghost Fury           Its Ghost moves do 50% more damage while its HP is at or below 1/3 of its maximum.
Ghost Guard          It takes 50% less damage from Ghost moves.
Grass Affinity       In battle it is also Grass type: its Grass moves get the same-type bonus, and it takes and resists hits as a Grass type too. No effect if it is already Grass.
Grass Deficiency     In battle it is not Grass type: Grass moves get no same-type bonus from it, and the type chart ignores Grass when it is hit. A pure Grass type becomes typeless. No effect if it is not Grass.
Grass Drinker        Damaging Grass moves do nothing to it and instead restore 1/4 of its max HP (at least 1). Grass status moves still affect it.
Grass Guard          It takes 50% less damage from Grass moves.
Grass Pelt           Its Defence stat is 50% higher on Grassy Terrain while it is grounded.
Grassy Surge         When it enters battle, starts Grassy Terrain for 5 turns, unless it is already up.
Ground Affinity      In battle it is also Ground type: its Ground moves get the same-type bonus, and it takes and resists hits as a Ground type too. No effect if it is already Ground.
